Date,Username,User tag,Content,Mentions,link
"2023-04-01,23:03:13","leftwild","#0","","","https://cdn.discordapp.com/attachments/834188603952463883/1091845249472680006/image.png?ex=6599ce20&is=65875920&hm=80efb0d65f72f76087af06764ae874ae944711b70f493109ec0857e86a4f447a&"
"2023-04-01,23:43:17","Tempo","#1917","<@154992376685789184> | Added `Funkytown - (Demonstration Version) [In The Style Of Lipps Inc.]` by `Karaoke Jukebox Heroes` to the queue.","MangalhoDePauPT#2657",""
"2023-04-01,23:44:53","Tempo","#1917","<@154992376685789184> | Added `Hot Stuff` by `Donna Summer` to the queue.","MangalhoDePauPT#2657",""
"2023-04-01,23:56:31","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-04-02,02:09:00","Green-bot","#5315","","",""
"2023-04-02,16:28:18","MangalhoDePauPT","#2657","https://9gag.com/gag/ajVONLQ?utm_source=copy_link&utm_medium=post_share","",""
"2023-04-02,16:37:18","MangalhoDePauPT","#2657","https://9gag.com/gag/a8qmyqO?utm_source=copy_link&utm_medium=post_share","",""
"2023-04-02,16:48:15","MangalhoDePauPT","#2657","https://9gag.com/gag/aDYn3e9","",""
"2023-04-02,17:24:08","Green-bot","#5315","","",""
"2023-04-02,17:24:17","Green-bot","#5315","","",""
"2023-04-02,17:24:29","Tempo","#1917","<@220271899656060928> | Added `Tell Me Lies (DJ ReMix) (As Made Famous by Fleetwood Mac)` by `DJ Remix Factory` to the queue.","Patchoras#0310",""
"2023-04-02,17:24:35","Green-bot","#5315","","",""
"2023-04-02,17:24:42","Tempo","#1917","It's sad to say goodbye, I've stopped playing music and left the voice channel. :frowning:","",""
"2023-04-02,17:25:31","Green-bot","#5315","","",""
"2023-04-02,17:25:40","Green-bot","#5315","","",""
"2023-04-02,17:27:09","Green-bot","#5315","","",""
"2023-04-02,17:30:47","Green-bot","#5315","","",""
"2023-04-02,18:45:15","Green-bot","#5315","","",""
"2023-04-02,20:36:58","Green-bot","#5315","","",""
"2023-04-03,02:57:32","Green-bot","#5315","","",""
